clova
0.000000
1.000000
0.571429
0.052632
0.000000
0.166667
0.058824
0.000000
0.270270
0.000000

ETRI
0.000000
0.800000
0.714286
0.105263
0.176471
0.666667
0.058824
0.000000
0.297297
0.058824
